Business Legal Name,Ownership Type,Trade Name,NAICS Code,NAICS Description,License Start Date,"City, State, ZIP"
BOBS DISCOUNT BEVERAGES LLC,LLC*Limited Liability Co,BOBS LAKE CITY LIQUORS,445310,"Beer, Wine, and Liquor Stores",01-Nov-12,"SEATTLE, WA 98115-2349"
IMPULSE WINE LLC,LLC*Limited Liability Co,IMPULSE WINE,445310,"Beer, Wine, and Liquor Stores",09-Mar-13,"SEATTLE, WA 98106-1376"
TAP STATION LLC,LLC*Limited Liability Co,TAP STATION,445310,"Beer, Wine, and Liquor Stores",01-Jul-13,"SEATTLE, WA 98126"
A PIZZA MART BAR & GRILL INC,Corporation,A PIZZA MART,445310,"Beer, Wine, and Liquor Stores",18-Jul-13,"SEATTLE, WA 98105-3537"
ROOT CULTURE LAB,LLP*Limited Liability Partners,BOTTLEHOUSE,445310,"Beer, Wine, and Liquor Stores",01-Sep-13,"SEATTLE, WA 98122-3334"
WRIGHT KRISTOPHER K & STEPHANIE L,Sole Proprietor,BOUZY,445310,"Beer, Wine, and Liquor Stores",20-Nov-13,"SEATTLE, WA 98103-3772"
BALLARD BEER COMPANY LLC,LLC*Limited Liability Co,BALLARD BEER COMPANY,445310,"Beer, Wine, and Liquor Stores",16-Feb-14,"SEATTLE, WA 98107"
CHEESE & BEER LLC,LLC*Limited Liability Co,HIGH GRAVITY,445310,"Beer, Wine, and Liquor Stores",07-Mar-14,"RENTON, WA 98057-5111"
TASTE TAVERN INC,Corporation,TAVOUR,445310,"Beer, Wine, and Liquor Stores",01-Aug-14,"SEATTLE, WA 98104-4602"
THE CANNERY BEER LLC,LLC*Limited Liability Co,THE CANNERY,445310,"Beer, Wine, and Liquor Stores",01-Aug-14,"SEATTLE, WA 98107-4016"
DANCINGGUY,LLC*Limited Liability Co,LARK,445310,"Beer, Wine, and Liquor Stores",01-Nov-14,"SEATTLE, WA 98122"
WASHINGTON FINE WINE & SPIRITS LLC,LLC*Limited Liability Co,TOTAL WINE & MORE,445310,"Beer, Wine, and Liquor Stores",30-Oct-14,"SEATTLE, WA 98125-6106"
OUR SEATTLE VODKA LLC,LLC*Limited Liability Co,OUR SEATTLE VODKA LLC,445310,"Beer, Wine, and Liquor Stores",14-Jan-15,"SEATTLE, WA 98107"
WINE WORLD & SPIRITS LLC,LLC*Limited Liability Co,WINE WORLD & SPIRITS,445310,"Beer, Wine, and Liquor Stores",01-Jan-15,"SEATTLE, WA 98105-6165"
SODO WINE CO LLC,LLC*Limited Liability Co,SODO WINE CO,445310,"Beer, Wine, and Liquor Stores",01-Aug-15,"SEATTLE, WA 98134-1618"
GROWL64 LLC,LLC*Limited Liability Co,THE GROWL STORE,445310,"Beer, Wine, and Liquor Stores",01-Nov-15,"SEATTLE, WA 98122-3909"
HB BREWS LLC,LLC*Limited Liability Co,SEATTLE BEER COMPANY,445310,"Beer, Wine, and Liquor Stores",01-May-16,"SEATTLE, WA 98101-2021"
AMBER LANTERN LLC,LLC*Limited Liability Co,HOPVINE PATCH,445310,"Beer, Wine, and Liquor Stores",01-May-16,"SEATTLE, WA 98109"
TOP TIER WINES LLC,LLC*Limited Liability Co,TOP TIER WINES LLC,445310,"Beer, Wine, and Liquor Stores",01-Apr-16,"SEATTLE, WA 98117-5726"
TR WINES INC,Corporation,WATERS WINERY,445310,"Beer, Wine, and Liquor Stores",30-May-16,"SEATTLE, WA 98134-2203"
OLSON ZACHARY S,Sole Proprietor,RHONIN WINE CONSULTING,445310,"Beer, Wine, and Liquor Stores",22-Jun-16,"SEATTLE, WA 98109-2251"
